Time,2020-07-29 05,2020-07-29 06,2020-07-29 07,2020-07-29 08,2020-07-29 09,2020-07-29 10,2020-07-29 11,2020-07-29 12
Parkingspacename,Average Occupancy (%),Average Occupancy (%),Average Occupancy (%),Average Occupancy (%),Average Occupancy (%),Average Occupancy (%),Average Occupancy (%),Average Occupancy (%)
s01,95.09,80.98,88.31,94.17,90.91,92.55,94.13,91.76
s02,69.15,93.87,0.00,46.58,50.00,82.66,72.66,72.16
s03,91.67,80.80,100.00,100.00,97.75,89.70,97.76,87.49
s04,93.95,95.75,100.00,100.00,96.74,98.37,97.06,97.05
s05,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
s06,74.61,100.00,48.25,63.24,76.70,73.60,78.00,80.98
s07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
s08,79.47,100.00,0.00,24.86,50.00,82.12,84.51,84.55
s09,96.29,51.62,100.00,100.00,74.12,68.78,85.38,99.32
s10,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
s11,74.07,76.98,100.00,100.00,92.20,72.90,70.32,74.66
s12,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
s13,100.00,83.83,100.00,100.00,94.85,95.98,99.76,96.21
s14,28.65,88.76,0.00,35.72,19.84,57.95,25.43,38.49
s15,100.00,99.76,100.00,100.00,100.00,100.00,100.00,100.00
s16,72.36,96.66,60.67,79.38,82.55,26.03,42.21,66.82
s17,50.79,92.17,39.90,66.13,82.19,79.89,64.84,71.08
s18,48.19,100.00,60.10,31.31,92.95,45.42,66.63,32.88
